,대회날짜,대회명,선수이름,챔피언,스펠1,스펠2,승/패,킬,데스,어시,KDA,킬관여율
128,17.10.22,2017 LoL World Championship 8강 4경기 5세트,WE Condi,그라가스,점멸,강타,승,0,2,5,2.5,63%
129,17.10.22,2017 LoL World Championship 8강 4경기 5세트,WE 957,나르,점멸,순간이동,승,2,0,6,9.6,100%
130,17.10.22,2017 LoL World Championship 8강 4경기 4세트,WE Ben,라칸,점멸,회복,승,1,0,1,15.6,87%
131,17.10.22,2017 LoL World Championship 8강 4경기 4세트,WE Mystic,코그모,방어막,점멸,승,6,1,6,12,80%
132,17.10.22,2017 LoL World Championship 8강 4경기 4세트,WE xiye,탈리야,회복,점멸,승,4,0,8,14.4,80%
133,17.10.22,2017 LoL World Championship 8강 4경기 4세트,WE Condi,자르반 4세,점멸,강타,승,1,3,1,4.3,87%
134,17.10.22,2017 LoL World Championship 8강 4경기 4세트,WE 957,초가스,점멸,순간이동,승,3,2,5,4,53%
135,17.10.22,2017 LoL World Championship 8강 4경기 4세트,C9 Smoothie,타릭,점멸,회복,패,0,3,6,2,100%
136,17.10.22,2017 LoL World Championship 8강 4경기 4세트,C9 Sneaky,자야,점멸,방어막,패,0,3,5,1.7,83%
137,17.10.22,2017 LoL World Championship 8강 4경기 4세트,C9 Jensen,오리아나,점멸,회복,패,3,2,3,3,100%
138,17.10.22,2017 LoL World Championship 8강 4경기 4세트,C9 Contractz,세주아니,강타,점멸,패,1,7,5,0.9,100%
139,17.10.22,2017 LoL World Championship 8강 4경기 4세트,C9 Impact,트런들,점멸,순간이동,패,2,1,2,4,67%
140,17.10.22,2017 LoL World Championship 8강 4경기 3세트,C9 Smoothie,잔나,점멸,회복,승,1,0,9,12,100%
141,17.10.22,2017 LoL World Championship 8강 4경기 3세트,C9 Sneaky,트리스타나,점멸,방어막,승,6,0,4,12,100%
142,17.10.22,2017 LoL World Championship 8강 4경기 3세트,C9 Jensen,탈리야,점멸,정화,승,1,3,2,1,30%
143,17.10.22,2017 LoL World Championship 8강 4경기 3세트,C9 Contractz,자르반 4세,강타,점멸,승,1,1,7,8,80%
144,17.10.22,2017 LoL World Championship 8강 4경기 3세트,C9 Impact,신지드,점멸,순간이동,승,1,1,3,4,40%
145,17.10.22,2017 LoL World Championship 8강 4경기 3세트,WE Ben,룰루,점멸,회복,패,0,1,1,1,20%
146,17.10.22,2017 LoL World Championship 8강 4경기 3세트,WE Mystic,케이틀린,방어막,점멸,패,0,2,1,0.5,20%
147,17.10.22,2017 LoL World Championship 8강 4경기 3세트,WE xiye,제이스,점화,점멸,패,3,1,1,4,80%
148,17.10.22,2017 LoL World Championship 8강 4경기 3세트,WE Condi,마오카이,점멸,강타,패,1,5,1,0.4,40%
